claim,subject,predicate,object,object_queried,property_id,confidence,route,mapping_source,kg_result,kg_retrieved,entity_exists,match_direction
Celebrity Rehab with Dr. Drew was only ever called by that name.,Celebrity Rehab,call,,,,low,semantic_search,none,pending_semantic,,,
Blank Space originated in Austria.,Blank Space,originate,,,,low,semantic_search,none,pending_semantic,,,
Roberto Orci wrote Star Trek Into Darkness.,Star Trek Into Darkness,written_by,Roberto Orci,roberto orci,P58,medium,kg_retrieve,rule,not_found,,False,
The Indiana Pacers were never allowed to join a basketball league.,Indiana Pacers,allow,,,,low,semantic_search,none,pending_semantic,,,
Firefox is a Fortune 500 company.,Firefox,be,company,company,P106,high,kg_exact_match,rule,no_match,,True,
Samsung has developed and marketed televisions.,Samsung,developed_by,,,,low,semantic_search,none,pending_semantic,,,
Bank of America has automated teller machines in Wisconsin.,Bank of America,have,,,,low,semantic_search,none,pending_semantic,,,
Hezbollah received war training from Iran.,Hezbollah,received,,,,low,semantic_search,none,pending_semantic,,,
Jiang Wen was born on January 5.,Jiang Wen,born,January 5,january 5,P569,high,kg_exact_match,rule,no_match,,True,
James Brolin is not from America.,James Brolin,be,America,america,P27,high,kg_exact_match,rule,no_match,,True,
Fargo (season 3) aired on FX at night.,Fargo,air,,,,low,semantic_search,none,pending_semantic,,,
Sean Gunn was on Gilmore Girls.,Sean Gunn,be,,,,low,semantic_search,none,pending_semantic,,,
Eric Bana is a dancer.,Eric Bana,be,dancer,dancer,P106,high,kg_exact_match,rule,no_match,,True,
Jeb Bush is former President George H. W. Bush's assistant.,Jeb Bush,be,president,president,P106,high,kg_exact_match,rule,no_match,,True,
The Gettysburg Address was given by Abraham Lincoln.,Gettysburg Address,give,,,,low,semantic_search,none,pending_semantic,,,
Kyra Sedgwick won a Golden Globe in 2010.,Kyra Sedgwick,won,Golden Globe,golden globe,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Maximum Overdrive was edited by Stephen King.,Maximum Overdrive,edit,,,,low,semantic_search,none,pending_semantic,,,
Kenny Chesney is Catholic.,Kenny Chesney,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
Anne Boleyn is not mentioned in many artistic and cultural work.,Anne Boleyn,mention,,,,low,semantic_search,none,pending_semantic,,,
Jonah Hill starred in Oceans Eleven.,Oceans Eleven,stars_in,Jonah Hill,jonah hill,P161,medium,kg_retrieve,rule,not_found,,False,
Google Search can return information about movies.,Google Search,return,,,,low,semantic_search,none,pending_semantic,,,
Bank of America has platforms.,Bank of America,have,,,,low,semantic_search,none,pending_semantic,,,
House of Balloons is a debut single.,House of Balloons,be,,,,low,semantic_search,none,pending_semantic,,,
Gaius Julius Caesar was only born in 430 BC.,Gaius Julius Caesar,born,,,P19,low,kg_retrieve,rule,retrieved,rome,,
The Book of Mormon won nine Tony Awards.,Book of Mormon,won,nine Tony Awards,nine tony awards,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Jeb Bush grew up in poverty.,Jeb Bush,grow,,,,low,semantic_search,none,pending_semantic,,,
Sabbir Khan directed zero films.,Sabbir Khan,directed_by,,,,low,semantic_search,none,pending_semantic,,,
Death Note is a Japanese television drama series based on a manga series illustrated by Carl Barks.,Death Note,be,Japan,japan,P27,high,kg_exact_match,rule,no_match,,True,
Jed Whedon is an architect.,Jed Whedon,be,architect,architect,P106,high,kg_exact_match,rule,no_match,,True,
Morgan Fairchild was in Paper Dolls.,Morgan Fairchild,be,Paper Dolls,paper dolls,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Ted Cruz's middle name is Edward.,Ted Cruz,be,edward,edward,P39,medium,kg_retrieve,rule,retrieved,director | united states senator | solicitor general of texas | associate deputy attorney general,,
Adobe Photoshop is part of the Adobe Systems.,Adobe Photoshop,be,Adobe Systems,adobe systems,P361,high,kg_exact_match,rule,property_not_in_kg,,,
Benjamin Walker (actor) is in comedy.,Benjamin Walker,appositive,,,P106,high,kg_exact_match,rule,skip_missing_fields,,,
US Airways Flight 1549 did not land in the Hudson River.,Flight 1549,land,,,,low,semantic_search,none,pending_semantic,,,
Taarak Mehta Ka Ooltah Chashmah is produced by Lord Sauron.,Ooltah Chashmah,produced,,,,low,semantic_search,none,pending_semantic,,,
Laura Robson debuted in the Italy.,Laura Robson,debut,,,,low,semantic_search,none,pending_semantic,,,
The Stanford prison experiment was unfunded.,Stanford prison experiment,be,unfunded,unfunded,P39,medium,kg_retrieve,rule,not_found,,False,
Star Trek Into Darkness was written by Roberto Orci.,Star Trek Into Darkness,written_by,,,,low,semantic_search,none,pending_semantic,,,
Cary Elwes is a writer.,Cary Elwes,be,writer,writer,P106,high,kg_exact_match,rule,no_match,,True,
L. Ron Hubbard spent the remaining years of his life solely on his boat.,L. Ron Hubbard,spend,,,,low,semantic_search,none,pending_semantic,,,
Logie Awards had over a million viewers.,Logie Awards,have,,,,low,semantic_search,none,pending_semantic,,,
Woodrow Wilson did not establish Wilsonianism.,Woodrow Wilson,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Legendary Entertainment is an independent company.,Legendary Entertainment,be,,,,low,semantic_search,none,pending_semantic,,,
Celebrity Rehab with Dr. Drew is set wholly on-location at the Playboy Mansion.,Celebrity Rehab,set,,,,low,semantic_search,none,pending_semantic,,,
Times Higher Education World University Rankings is a publication of rankings by Times Higher Education (THE) magazine.,Times Higher Education World University Rankings,be,,,,low,semantic_search,none,pending_semantic,,,
Spider-Man 2 was written by Donald Trump.,Spider Man,written_by,,,,low,semantic_search,none,pending_semantic,,,
The Stanford prison experiment was an investigation into the causes of difficulties between guards and prisoners.,Stanford prison experiment,be,causes,causes,P39,medium,kg_retrieve,rule,not_found,,False,
Fred Seibert has a career as a jazz record audio engineer.,Fred Seibert,have,,,,low,semantic_search,none,pending_semantic,,,
Fred Seibert has produced animated programs.,Fred Seibert,produced,,,,low,semantic_search,none,pending_semantic,,,
Scream 2 was directed by Barack Obama.,Scream,directed_by,,,,low,semantic_search,none,pending_semantic,,,
MSG has a bitter taste.,MSG,have,,,,low,semantic_search,none,pending_semantic,,,
The Fame has been available for sale.,Fame,be,,,,low,semantic_search,none,pending_semantic,,,
William Cohen is from a city.,William Cohen,be,,,,low,semantic_search,none,pending_semantic,,,
Henry III was the son of King Robert.,Henry III,be,son,son,P39,medium,kg_retrieve,rule,retrieved,monarch of england | duke of normandy | lord of ireland,,
Alex Jones was born in 1973.,Alex Jones,born,1973,1973,P569,high,kg_exact_match,rule,no_match,,True,
House of Balloons is by The Weeknd.,House of Balloons,be,,,,low,semantic_search,none,pending_semantic,,,
The Stanford prison experiment was funded by the U.S. Office of Naval Research.,Stanford prison experiment,fund,,,,low,semantic_search,none,pending_semantic,,,
Gotham City Sirens was illustrated by Guillem March in 1954.,Gotham City Sirens,illustrate,,,,low,semantic_search,none,pending_semantic,,,
Roberto Orci wrote Star Wars: The Force Awakens.,Roberto Orci,written_by,Roberto Orci,roberto orci,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Samsung has developed and marketed dogs.,Samsung,developed_by,,,,low,semantic_search,none,pending_semantic,,,
Gamal Abdel Nasser's only funeral was in Britain.,Gamal Abdel Nasser,be,Britain,britain,P131,medium,kg_exact_match,rule,property_not_in_kg,,,
Caleb McLaughlin was born on the day 14th.,Caleb McLaughlin,born,day 14th,day 14th,P569,high,kg_exact_match,rule,no_match,,True,
Emmanuel Macron refused to work as an Inspector of Finances.,Emmanuel Macron,refuse,,,,low,semantic_search,none,pending_semantic,,,
Chris Bosh won his first NBA Finals title in 2012 against Oklahoma City Thunder.,Chris Bosh,won,his first NBA Finals title,his first nba finals title,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Matt Bomer's last name is Staton.,Staton,be,,,,low,semantic_search,none,pending_semantic,,,
"Vic Mensa is mayor of Chicago, Illinois.",Vic Mensa,be,mayor,mayor,P39,medium,kg_retrieve,rule,not_found,,True,
Temple Grandin was directed by a Croatian filmmaker.,Temple Grandin,directed_by,,,,low,semantic_search,none,pending_semantic,,,
The Walking Dead (comic book) is a television series inspiration.,Walking Dead,be,,,,low,semantic_search,none,pending_semantic,,,
David Lloyd George was the subject of a UK-wide vote.,David Lloyd George,be,subject,subject,P39,medium,kg_retrieve,rule,retrieved,prime minister of the united kingdom | chancellor of the exchequer | secretary of state for war | minister of munitions | leader of the liberal party,,
Kevin Bacon was in the film Sleepers.,Kevin Bacon,be,,,,low,semantic_search,none,pending_semantic,,,
Natasha Lyonne is also known as Natasha Rebecca Lyonne Renner.,Natasha Lyonne,know,,,,low,semantic_search,none,pending_semantic,,,
Punch-Drunk Love was produced by Adam Sandler.,Punch-Drunk Love,produced,,,,low,semantic_search,none,pending_semantic,,,
Jeb Bush is the younger male sibling of George W. Bush.,Jeb Bush,be,,,,low,semantic_search,none,pending_semantic,,,
Cary Elwes was born in April 1962.,Cary Elwes,born,April 1962,1962-04,P569,high,kg_exact_match,rule,no_match,,True,
Mikhail Prokhorov is the former chairman of Italy's largest gold producer.,Mikhail Prokhorov,be,producer,producer,P106,high,kg_exact_match,rule,no_match,,True,
"There are currently 15,882,417 Mormon members.",,be,member,member,P39,medium,semantic_search,rule,pending_semantic,,,
Jed Whedon is the son of someone born in June.,Jed Whedon,be,son,son,P39,medium,kg_retrieve,rule,not_found,,True,
Kyra Sedgwick won a Texan award.,Kyra Sedgwick,won,Texan award,texan award,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Jonah Hill ranked 28th on Forbes magazine's ranking of world's highest paid actors in the 21st century.,Jonah Hill,rank,,,,low,semantic_search,none,pending_semantic,,,
Key & Peele has only won one Primetime Emmy Award.,Key & Peele,won,one Primetime Emmy Award,one primetime emmy award,P166,high,kg_exact_match,rule,property_not_in_kg,,,
The Boeing 767 became the most frequently used airliner for transatlantic flights between South America and Africa.,767,become,,,,low,semantic_search,none,pending_semantic,,,
Qin dynasty ended around 300 BC.,dynasty,end,,,,low,semantic_search,none,pending_semantic,,,
"On August 19, 1945, Ian Gillan was born.",Ian Gillan,born,"August 19, 1945",1945-08-19,P569,high,kg_exact_match,rule,match,,,
Adobe Photoshop is a proprietary software.,Adobe Photoshop,be,,,,low,semantic_search,none,pending_semantic,,,
The Cyclades are a group of landlocked towns in Kentucky.,Cyclades,be,,,,low,semantic_search,none,pending_semantic,,,
A series created by Genndy Tartakovsky featured the voice talent of John DiMaggio.,series,feature,voice talent of John DiMaggio,voice talent of john dimaggio,P161,medium,kg_retrieve,rule,not_found,,False,
Aruba is one of the Caribbean's ABC Islands.,Aruba,be,,,,low,semantic_search,none,pending_semantic,,,
Sennacherib's designated successor was his son Esarhaddon.,Sennacherib,be,,,,low,semantic_search,none,pending_semantic,,,
Alan White was an Ambassador for someone to Chile.,Alan White,be,ambassador,ambassador,P106,high,kg_exact_match,rule,no_match,,True,
Gaius Julius Caesar only was the mother of a dictator.,Julius Caesar,be,,,,low,semantic_search,none,pending_semantic,,,
Faye Resnick does not write.,Faye Resnick,written_by,Faye Resnick,faye resnick,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Bank of America provides products and services through China.,Bank of America,provide,,,,low,semantic_search,none,pending_semantic,,,
Temple Grandin is a 2010 biopic starring Matthew McConaughey.,Temple Grandin,be,mcconaughey,mcconaughey,P39,medium,kg_retrieve,rule,retrieved,professor,,
Ding Yanyuhang is European.,Ding Yanyuhang,be,european,european,P106,high,kg_exact_match,rule,no_match,,True,
Rick Ross founded Epitaph Records.,Epitaph Records,founded_by,Rick Ross,rick ross,P112,medium,kg_retrieve,rule,not_found,,False,
"Benjamin Franklin failed at earning the title of ""The First American.""",Benjamin Franklin,fail,,,,low,semantic_search,none,pending_semantic,,,
Alberto Contador was found guilty of second degree murder.,Alberto Contador,find,,,,low,semantic_search,none,pending_semantic,,,
Jamie Lee Curtis' mother is Tony Curtis.,Jamie Lee Curtis',be,tony curtis,tony curtis,P106,high,kg_exact_match,rule,no_match,,False,
The latest ceremony of the Logie Awards was in 2017 of May.,ceremony,be,,,,low,semantic_search,none,pending_semantic,,,
A parent of Jed Whedon was born in the month of August.,parent,born,month of August,month of august,P569,high,kg_exact_match,rule,no_match,,False,
Jeb Bush grew up in Boston.,Jeb Bush,grow,,,,low,semantic_search,none,pending_semantic,,,
Taarak Mehta Ka Ooltah Chashmah is from a basement.,Ooltah Chashmah,be,,,,low,semantic_search,none,pending_semantic,,,
Trouble with the Curve only stars Robin Wright.,Trouble,stars_in,,,,low,semantic_search,none,pending_semantic,,,
Henry III assumed the throne in the middle of his birthday party.,Henry III,assume,,,,low,semantic_search,none,pending_semantic,,,
The Boeing 767 became the most frequently used airliner for transatlantic flights between North America and Europe.,767,become,,,,low,semantic_search,none,pending_semantic,,,
Mandy Moore is not an American.,Mandy Moore,be,United States,united states,P27,high,kg_exact_match,rule,match,,,
Ricardo Montalbán was only German.,Ricardo Montalbán,be,Germany,germany,P27,high,kg_exact_match,rule,no_match,,True,
The WWE was founded after the creation of the NXT Tag Team Championship.,WWE,founded_by,,,,low,semantic_search,none,pending_semantic,,,
Temple Grandin is a biographical film from 2010.,Temple Grandin,be,biographical film,biographical film,P106,high,kg_exact_match,rule,no_match,,True,
Hezbollah received military training from Iran.,Hezbollah,received,military training,military training,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Yvonne Strahovski worked on an ABC show.,Yvonne Strahovski,worked,,,,low,semantic_search,none,pending_semantic,,,
Two Primetime Emmy Awards have been awarded to Key & Peele.,Primetime Emmy Awards,award,,,,low,semantic_search,none,pending_semantic,,,
The Stanford prison experiment was given a million dollars by the U.S. Office of Naval Research.,Stanford prison experiment,give,,,,low,semantic_search,none,pending_semantic,,,
Freddie Highmore has been nominated for the Critics' Choice Television Award.,Freddie Highmore,nominate,,,,low,semantic_search,none,pending_semantic,,,
Chris Benoit is immortal.,Chris Benoit,be,immortal,immortal,P106,high,kg_exact_match,rule,no_match,,True,
Kyle Maclachlan is from Georgia.,Kyle Maclachlan,be,Georgia,georgia,P27,high,kg_exact_match,rule,no_match,,True,
B. R. Ambedkar was an Indian politician.,B. R. Ambedkar,be,politician,politician,P106,high,kg_exact_match,rule,match,,,
Fred Seibert has a career as a gospel record producer.,Fred Seibert,have,,,,low,semantic_search,none,pending_semantic,,,
Mikhail Prokhorov was the chairman of Polyus Gold from 1999 to 2003.,Mikhail Prokhorov,be,chairman,chairman,P106,high,kg_exact_match,rule,no_match,,True,
The Boeing 767 has always been the least frequently used airliner for transatlantic flights between North America and Europe.,767,be,,,,low,semantic_search,none,pending_semantic,,,
Syria provided political support to Hezbollah.,Syria,provide,,,,low,semantic_search,none,pending_semantic,,,
Taarak Mehta Ka Ooltah Chashmah is from France.,Ooltah Chashmah,be,,,,low,semantic_search,none,pending_semantic,,,
A member of the Grateful Dead was John Perry Barlow.,member,be,,,,low,semantic_search,none,pending_semantic,,,
"In 1992, Prague's historic center was added to UNESCO's list of World Heritage Sites.",Prague,add,,,,low,semantic_search,none,pending_semantic,,,
Cary Elwes is an actor.,Cary Elwes,be,actor,actor,P106,high,kg_exact_match,rule,match,,,
Alex Jones writes.,Alex Jones,written_by,Alex Jones,alex jones,P58,medium,kg_retrieve,semantic_assist,not_found,,True,
Jack Dylan Grazer's parents are Princess Oriana and Fox Mulder.,Jack Dylan Grazer,be,oriana,oriana,P39,medium,kg_retrieve,rule,not_found,,True,
American Library Association is the smallest of its kind.,American Library Association,be,,,,low,semantic_search,none,pending_semantic,,,
Mandy Moore is an American.,Mandy Moore,be,United States,united states,P27,high,kg_exact_match,rule,match,,,
Google Search can find scores for any professional or amateur sporting event.,Google Search,find,,,,low,semantic_search,none,pending_semantic,,,
Lucy Hale was in American Idol.,Lucy Hale,be,,,,low,semantic_search,none,pending_semantic,,,
Kareem Abdul-Jabbar is a hockey player.,Kareem Abdul-Jabbar,be,hockey player,hockey player,P106,high,kg_exact_match,rule,no_match,,True,
Gaius Julius Caesar never participated in politics.,Gaius Julius Caesar,participate,,,,low,semantic_search,none,pending_semantic,,,
Yvonne Strahovski is an Australian silent film actress.,Yvonne Strahovski,be,actress,actress,P106,high,kg_exact_match,rule,no_match,,True,
William Cohen is illiterate.,William Cohen,be,illiterate,illiterate,P106,high,kg_exact_match,rule,no_match,,True,
Woodrow Wilson worked in Canada.,Woodrow Wilson,worked,,,,low,semantic_search,none,pending_semantic,,,
A Good Day to Die Hard stars Bruce Willis.,,day,,,,low,semantic_search,none,pending_semantic,,,
The Boeing 767 is used for flights.,767,use,,,,low,semantic_search,none,pending_semantic,,,
Emmanuel Macron hired an Inspector of Finances.,Emmanuel Macron,hire,,,,low,semantic_search,none,pending_semantic,,,
Richard Dawson was a presenter of game shows in the United States.,Richard Dawson,be,presenter,presenter,P106,high,kg_exact_match,rule,no_match,,True,
John DiMaggio has done motion-capture roles.,John DiMaggio,do,,,,low,semantic_search,none,pending_semantic,,,
Samsung entered the mining industry in the 1960's.,Samsung,enter,,,,low,semantic_search,none,pending_semantic,,,
Stephen Moyer played the lead role of Prince Valiant in the 1997 movie Prince Valiant.,Prince Valiant,played_in,Stephen Moyer,stephen moyer,P161,medium,kg_retrieve,rule,not_found,,False,
Jonah Hill starred in Sausage Party as Doug the Wiener.,Sausage Party,stars_in,Jonah Hill,jonah hill,P161,medium,kg_retrieve,rule,not_found,,False,
Brie Larson starred in several comedies.,several comedies,stars_in,Brie Larson,brie larson,P161,medium,kg_retrieve,rule,not_found,,False,
Sonny & Cher are English speakers.,Sonny & Cher,be,,,,low,semantic_search,none,pending_semantic,,,
"Sonny Bono died on January 5, 2012.",Sonny Bono,died,"January 5, 2012",2012-01-05,P570,high,kg_exact_match,rule,no_match,,True,
Ding Yanyuhang was born in the summer of 1993.,Ding Yanyuhang,born,summer of 1993,1993,P569,high,kg_exact_match,rule,no_match,,True,
Doug Petrie appeared in an Italian opera.,Doug Petrie,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Ed and Lorraine Warren were paranormal investigators.,Lorraine Warren,be,paranormal investigators,paranormal investigators,P106,high,kg_exact_match,rule,no_match,,True,
"There were 3,090,953 Mormon followers in 1971.",,be,,,,low,semantic_search,none,pending_semantic,,,
Warren Beatty never worked with Trevor Griffiths.,Warren Beatty,worked,,,,low,semantic_search,none,pending_semantic,,,
The Times switched to a compact format in 2014.,Times,switch,,,,low,semantic_search,none,pending_semantic,,,
Gaius Julius Caesar was born after 150 BC.,Gaius Julius Caesar,born,,,P19,low,kg_retrieve,rule,retrieved,rome,,
Sonny & Cher sing R&B.,Sonny & Cher,sing,,,,low,semantic_search,none,pending_semantic,,,
American Idol (season 8) had Simon Cowell as a contestant.,American Idol,have,,,,low,semantic_search,none,pending_semantic,,,
Celebrity Rehab with Dr. Drew was set in a warehouse.,Celebrity Rehab,set,,,,low,semantic_search,none,pending_semantic,,,
Google Search can find sports scores.,Google Search,find,,,,low,semantic_search,none,pending_semantic,,,
John Frusciante released twelve solo albums.,John Frusciante,released,John Frusciante,john frusciante,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Chadwick Boseman portrayed James Brown.,Chadwick Boseman,portrayed,,,,low,semantic_search,none,pending_semantic,,,
Key & Peele has yet to win a Peabody Award.,Key & Peele,have,Peabody Award,peabody award,P166,high,kg_exact_match,rule,property_not_in_kg,,,
James Brolin was born in the 1940s.,James Brolin,born,1940s,1940s,P569,high,kg_exact_match,rule,no_match,,True,
Henry III's father was King John.,Henry III,be,king john,king john,P39,medium,kg_retrieve,rule,retrieved,monarch of england | duke of normandy | lord of ireland,,
SummerSlam is thrown by the WWE.,SummerSlam,throw,,,,low,semantic_search,none,pending_semantic,,,
B. R. Ambedkar was born before 1900.,B. R. Ambedkar,born,1900,1900,P569,high,kg_exact_match,rule,no_match,,True,
The American Revolution was lead by Benjamin Franklin.,American Revolution,be,franklin,franklin,P39,medium,kg_retrieve,rule,not_found,,False,
The Fame came out in 2017.,Fame,come,,,,low,semantic_search,none,pending_semantic,,,
B. R. Ambedkar was not in The Sound of Music.,B. R. Ambedkar,be,,,,low,semantic_search,none,pending_semantic,,,
The Airbus A380 entered commercial service in 2007 with Singapore Airlines.,A380,enter,,,,low,semantic_search,none,pending_semantic,,,
Doug Petrie starred in Dr. Horrible's Sing-Along Blog.,Dr. Horrible's Sing-Along Blog,stars_in,Doug Petrie,doug petrie,P161,medium,kg_retrieve,rule,not_found,,False,
The Walking Dead (comic book) inspired a sports team.,Walking Dead,inspire,,,,low,semantic_search,none,pending_semantic,,,
Ed and Lorraine Warren were ghost hunters.,Lorraine Warren,be,host,host,P106,high,kg_exact_match,rule,no_match,,True,
Morgan Fairchild's nickname was Paper Dolls.,Morgan Fairchild's,be,,,,low,semantic_search,none,pending_semantic,,,
Anne Boleyn lived in London in 1522.,Anne Boleyn,live,,,,low,semantic_search,none,pending_semantic,,,
The Fame sold 4.7 million digital copies as of April 2016.,Fame,sell,,,,low,semantic_search,none,pending_semantic,,,
Augustus Prew's father was a teacher.,Augustus Prew,be,teacher,teacher,P39,medium,kg_retrieve,rule,not_found,,True,
The 66th Primetime Emmy Awards was hosted by the inventor of Late Night.,Primetime Emmy Awards,host,,,,low,semantic_search,none,pending_semantic,,,
The mother of Augustus Prew was a fashion designer.,mother,be,fashion designer,fashion designer,P39,medium,kg_retrieve,rule,not_found,,False,
Key & Peele has won two Primetime Emmy Awards as of 2004.,Key & Peele,won,Primetime Emmy Awards,primetime emmy awards,P166,high,kg_exact_match,rule,property_not_in_kg,,,
The Catcher in the Rye deals with the issue of war.,,catcher,,,,low,semantic_search,none,pending_semantic,,,
MSG has a savory taste similar to that of glutamate.,MSG,have,,,,low,semantic_search,none,pending_semantic,,,
Manchester United F.C. was the world's highest-earning football club for a season.,Manchester United F.C,be,club,club,P39,medium,kg_retrieve,rule,not_found,,False,
"The Airbus A380 entered commercial service on October 25, 2007.",A380,enter,,,,low,semantic_search,none,pending_semantic,,,
Dawood Ibrahim isn't a terrorist.,Dawood Ibrahim,be,terrorist,terrorist,P106,high,kg_exact_match,rule,match,,,
UNESCO's City of Literature program was launched in May of 2004.,UNESCO,launch,,,,low,semantic_search,none,pending_semantic,,,
Samsung entered the electronics industry in the the late 1960's.,Samsung,enter,,,,low,semantic_search,none,pending_semantic,,,
Kevin Bacon was in a film directed by Christopher Nolan.,Kevin Bacon,be,,,,low,semantic_search,none,pending_semantic,,,
Shannon Lee acts.,Shannon Lee,act,,,,low,semantic_search,none,pending_semantic,,,
The Catcher in the Rye is not a novel.,Catcher,be,novel,novel,P39,medium,kg_retrieve,rule,not_found,,False,
John DiMaggio has done acting roles.,John DiMaggio,do,,,,low,semantic_search,none,pending_semantic,,,
Alberto Contador initially won the 2013 Giro d'italia.,Alberto Contador,won,2013 Giro d'italia,2013 giro d'italia,P166,high,kg_exact_match,rule,property_not_in_kg,,,
Multiple shows on Cartoon Network employed John DiMaggio.,shows,employ,,,,low,semantic_search,none,pending_semantic,,,
B. R. Ambedkar was a Pakistani politician.,B. R. Ambedkar,be,politician,politician,P106,high,kg_exact_match,rule,match,,,
Ed Gagliardi battled lymphoma for eight years.,Ed Gagliardi,battle,,,,low,semantic_search,none,pending_semantic,,,
Richard Fortus has recorded a studio album with Guns N' Roses.,Richard Fortus,record,Guns N' Roses,guns n' roses,P264,high,kg_exact_match,semantic_assist,no_match,,True,
Matt Bomer is from America.,Matt Bomer,be,America,america,P27,high,kg_exact_match,rule,no_match,,True,
Taarak Mehta Ka Ooltah Chashmah means Taarak Mehta's Different Perspectives in French.,Ooltah Chashmah,mean,,,,low,semantic_search,none,pending_semantic,,,
Eric Bana is a singer.,Eric Bana,be,singer,singer,P106,high,kg_exact_match,rule,no_match,,True,
Charles de Gaulle was overlooked in the creation of a French political stance.,Charles de Gaulle,overlook,,,,low,semantic_search,none,pending_semantic,,,
Rick Ross had nothing to do with the creation of Hood Billionaire.,Rick Ross,have,,,,low,semantic_search,none,pending_semantic,,,
Charles de Gaulle was used as the basis of a French political stance.,Charles de Gaulle,use,,,,low,semantic_search,none,pending_semantic,,,
Yvonne Strahovski's real last name is Strzechowski.,Yvonne Strahovski,be,strzechowski,strzechowski,P39,medium,kg_retrieve,rule,not_found,,True,
The Challenge XXX: Dirty 30 is a season of a show on MTV.,Dirty,be,season,season,P39,medium,kg_retrieve,rule,not_found,,False,
The SpongeBob SquarePants Movie was directed by Donald Trump.,SpongeBob SquarePants Movie,directed_by,,,,low,semantic_search,none,pending_semantic,,,
Bob Ross created a painting show.,Bob Ross,create,,,,low,semantic_search,none,pending_semantic,,,
Ron Dennis serves as the Global Consultant for Minsheng Investment Corporation.,Ron Dennis,served_as,global consultant,global consultant,P39,medium,kg_retrieve,rule,retrieved,executive director | président-directeur général,,
Wolfgang Amadeus Mozart was not born in Salzburg.,Wolfgang Amadeus Mozart,born,Salzburg,salzburg,P19,high,kg_exact_match,rule,match,,,
The latest ceremony of the Logie Awards was at a farmhouse.,ceremony,be,,,,low,semantic_search,none,pending_semantic,,,
Emmanuel Macron worked as an investment banker.,Emmanuel Macron,worked_as,banker,banker,P106,high,kg_exact_match,rule,match,,,
Fuller House (TV series) is an office sitcom.,Fuller House,be,,,,low,semantic_search,none,pending_semantic,,,
Kevin Bacon was in the United States Marines.,Kevin Bacon,be,,,,low,semantic_search,none,pending_semantic,,,
John Frusciante released eleven solo albums.,John Frusciante,released,John Frusciante,john frusciante,P264,high,kg_exact_match,semantic_assist,no_match,,True,
David Lloyd George was a prime minister.,David Lloyd George,be,minister,minister,P106,high,kg_exact_match,rule,no_match,,True,
Georges Gilles de la Tourette made descriptions of attributes in nine patients.,Georges Gilles de la Tourette,make,,,,low,semantic_search,none,pending_semantic,,,
Nawaz Sharif is exclusively from the United States.,Nawaz Sharif,be,United States,united states,P27,high,kg_exact_match,rule,no_match,,True,
Jenny McCarthy was the 1995 Playmate of the Year.,Jenny McCarthy,be,playmate,playmate,P39,medium,kg_retrieve,rule,not_found,,True,
Watchmen is a dark satirical and dystopian take on the superhero genre and it lasts for six hours and forty-five minutes.,Watchmen,be,dark satirical and dystopian take on the superhero,dark satirical and dystopian take on the superhero,P136,high,kg_exact_match,rule,no_match,,True,
The Cyclades are southeast of mainland Greece.,Cyclades,be,,,,low,semantic_search,none,pending_semantic,,,
Bob Ross hosted a show on BBC.,Bob Ross,host,,,,low,semantic_search,none,pending_semantic,,,
"Jamie Lee Curtis' mother is Janet Leigh, the comedienne from Pittsburgh.",Jamie Lee Curtis',be,janet leigh,janet leigh,P106,high,kg_exact_match,rule,no_match,,False,
Sennacherib's designated successor was Esarhaddon.,Sennacherib,be,,,,low,semantic_search,none,pending_semantic,,,
Kaya Scodelario is a capitalist.,Kaya Scodelario,be,capitalist,capitalist,P106,high,kg_exact_match,rule,no_match,,True,
Sonny & Cher are award-winning R&B singers.,Sonny & Cher,be,,,,low,semantic_search,none,pending_semantic,,,
Emmanuel Macron worked as an investment banker at Rothschild & Cie Banque.,Emmanuel Macron,worked_as,banker,banker,P106,high,kg_exact_match,rule,match,,,
The Fame was released in February 2016.,Fame,released,,,,low,semantic_search,none,pending_semantic,,,
Bank of America withholds products and services.,Bank of America,withhold,,,,low,semantic_search,none,pending_semantic,,,
MSG has a savory flavor.,MSG,have,,,,low,semantic_search,none,pending_semantic,,,
The Walking Dead (comic book) inspired a lawyer.,Walking Dead,inspire,,,,low,semantic_search,none,pending_semantic,,,
The Times was printed in compact format for 219 years.,Times,print,,,,low,semantic_search,none,pending_semantic,,,
The SpongeBob SquarePants Movie was directed by Stephen Hillenburg in 2011.,SpongeBob SquarePants Movie,directed_by,,,,low,semantic_search,none,pending_semantic,,,
The Times began printing before or during 1785.,Times,begin,,,,low,semantic_search,none,pending_semantic,,,
Gaius Julius Caesar was a bassist.,Gaius Julius Caesar,be,,,,low,semantic_search,none,pending_semantic,,,
