claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object
The Office (US) is a Canadian show.,Office (US,be,a Canadian show,,,low,semantic_search,none,,be a canadian show,
Joseph Merrick was the producer of the play The Elephant Man.,Joseph Merrick,be,producer,producer,P106,high,kg_exact_match,rule,,,
Antigua and Barbuda was named by Isabella I of Castile.,Antigua,name,,,,low,semantic_search,none,,name be,
Richard Fortus has been a manager of Guns N' Roses since 2002.,Richard Fortus,be,manager,manager,P106,high,kg_exact_match,rule,,,
Benjamin Franklin earned the title of The Dead Body.,Benjamin Franklin,earn,the title of The Dead Body,,,low,semantic_search,none,,earn,
Shannon Lee is a martial artist but has never killed people.,Shannon Lee,be,martial artist,martial artist,P106,high,kg_exact_match,rule,,,
Watchmen is television drama set in an alternate history.,Watchmen,be,drama,drama,P136,high,kg_exact_match,rule,,,
Ed Gagliardi died of brain cancer.,Ed Gagliardi,died,,,P570,low,kg_retrieve,rule,,,
Ricardo Montalbán died in 1998.,Ricardo Montalbán,died,1998,1998,P570,high,kg_exact_match,rule,,,
Anne Boleyn returned to Vietnam.,Anne Boleyn,return,,,,low,semantic_search,none,,return to place,
Zoe Saldana has a directing career.,Zoe Saldana,have,a directing career,,,low,semantic_search,none,,have,
Jonah Hill starred in Sausage Party.,Sausage Party,stars_in,Jonah Hill,Jonah Hill,P161,medium,kg_retrieve,rule,,,
Antigua and Barbuda was named after an invocation of the Virgin Mary.,Antigua,name,,,,low,semantic_search,none,,name after an invocation of the virgin mary be,
Richard Kuklinski has a wife and child.,Richard Kuklinski,have,a wife and child,,,low,semantic_search,none,,have,
The New England Patriots are tied with the 49ers and Cowboys for the second most Super Bowl wins.,New England Patriots,tie,,,,low,semantic_search,none,,tie with 49ers for the second most super bowl wins,
Japan national football team won the AFC Asian Cup zero times.,football team,won,the AFC Asian Cup zero,AFC Asian Cup zero,P166,high,kg_exact_match,rule,,,
Shannon Lee is German.,Shannon Lee,be,Germany,Germany,P27,high,kg_exact_match,rule,,,
Sean Gunn is best known for his role as Thomas Edison.,Sean Gunn,know,,,,low,semantic_search,none,,know for his role as thomas edison,
The Book of Mormon was the winner of a Tony Award for Best Musical.,Book of Mormon,be,the winner of a Tony Award for Best Musical,,,low,semantic_search,none,,be the winner of a tony award for best musical,
James Spader refused to star in any controversial psychological thrillers.,James Spader,refuse,,,,low,semantic_search,none,,refuse star,
American Idol (season 8) had Simon Cowell as a judge for the eighth year in a row.,American Idol,have,Simon Cowell,,,low,semantic_search,none,,have as a judge for the eighth year in a row,
Chris Mullin played with a professional basketball team.,Chris Mullin,played_in,,,,low,semantic_search,none,,play with a professional basketball team,
Prague's historic center has been on UNESCO's list of World Heritage Sites since 1992.,Prague,be,,,,low,semantic_search,none,,be on unesco's list of world heritage sites since date,
Cary Elwes writes screenplays.,Cary Elwes,written_by,Cary Elwes,Cary Elwes,P58,medium,kg_retrieve,semantic_assist,,write,
Richard Fortus is a Guns N' Roses member.,Richard Fortus,be,member,member,P39,medium,kg_retrieve,rule,,,
Doug Petrie appeared in a television film.,Doug Petrie,appeared_in,,,,low,semantic_search,none,,appear in a television film,
Chris Paul only competes at or below the national level.,Chris Paul,compete,,,,low,semantic_search,none,,compete at,
Benjamin Franklin earned a title.,Benjamin Franklin,earn,a title,,,low,semantic_search,none,,earn,
Kyra Sedgwick won an award in Thailand.,Kyra Sedgwick,won,an award,award,P166,high,kg_exact_match,rule,,,
MSG has a savory taste.,MSG,have,a savory taste,,,low,semantic_search,none,,have,
Augustus Prew's father was a British photographer.,Augustus Prew,be,british photographer,british photographer,P39,medium,kg_retrieve,rule,,,
Alberto Contador was found guilty of an offense.,Alberto Contador,find,guilty of an offense,,,low,semantic_search,none,,find guilty of an offense be,
Lyon is the most-educated city in France.,Lyon,be,most-educated city,most-educated city,P39,medium,kg_retrieve,rule,,,
Ed Gagliardi passed away due to cancer.,Ed Gagliardi,pass,,,,low,semantic_search,none,,pass due,
"UNESCO's City of Literature program is part of its Creative Cities Network, founded in 1999.",UNESCO,be,Creative Cities Network,Creative Cities Network,P361,high,kg_exact_match,rule,,,
Faye Resnick is American.,Faye Resnick,be,United States,United States,P27,high,kg_exact_match,rule,,,
James Brolin is from Arkansas.,James Brolin,be,Arkansas,Arkansas,P27,high,kg_exact_match,rule,,,
Chadwick Boseman was in the movie 42.,Chadwick Boseman,be,,,,low,semantic_search,none,,be in the movie 42,
Morgan Fairchild appeared in Paper Dolls.,Morgan Fairchild,appeared_in,,,,low,semantic_search,none,,appear in place,
One of the ABC Islands is Bonaire.,One,be,bonaire,bonaire,P39,medium,kg_retrieve,rule,,,
Paul von Hindenburg was a statesman.,Paul von Hindenburg,be,statesman,statesman,P106,high,kg_exact_match,rule,,,
Linkin Park's second studio album was its best-selling.,Linkin Park,be,its best-selling,its best-selling,P39,medium,kg_retrieve,rule,,,
Benjamin Walker (actor) was murdered in 1982.,Benjamin Walker,appositive,,,P106,high,kg_exact_match,rule,,,actor
John Frusciante has an active business.,John Frusciante,have,an active business,,,low,semantic_search,none,,have,
Fred Seibert only produces for satellite television.,Fred Seibert,produced,,,,low,semantic_search,none,,produce for satellite television,
Anne Boleyn is not an influential person.,Anne Boleyn,be,influential person,influential person,P106,high,kg_exact_match,rule,,,
Goldie Hawn received a Grammy nomination.,Goldie Hawn,received,a Grammy nomination,Grammy nomination,P166,high,kg_exact_match,rule,,,
Vic Mensa is a Japanese country singer.,Vic Mensa,be,singer,singer,P106,high,kg_exact_match,rule,,,
Faye Resnick appeared on four television shows.,Faye Resnick,appeared_in,,,,low,semantic_search,none,,appear on four television shows,
Bank of America has centers.,Bank of America,have,centers,,,low,semantic_search,none,,have,
The Paper only stars Adam Sandler.,Paper,stars_in,Adam Sandler,,,low,semantic_search,none,,star,
The Times was founded in 1980.,Times,founded_by,,,,low,semantic_search,none,,found in date be,
Chris Paul is a security guard.,Chris Paul,be,security guard,security guard,P106,high,kg_exact_match,rule,,,
Gory Guerrero's birth name is Gory Guerrero.,Gory Guerrero,be,gory guerrero,gory guerrero,P106,high,kg_exact_match,rule,,,
Skopje was the capital of the Bulgarian Empire and it was important.,Skopje,be,the capital of the Bulgarian Empire,,,low,semantic_search,none,,be the capital of the bulgarian empire,
Alexandria is Egyptian.,Alexandria,be,Egypt,Egypt,P27,high,kg_exact_match,rule,,,
Augustus Prew was the son of two British people.,Augustus Prew,be,United Kingdom,United Kingdom,P27,high,kg_exact_match,rule,,,
Alexandria is in debt.,Alexandria,be,,,,low,semantic_search,none,,be in debt,
Richard Kuklinski led other lives.,Richard Kuklinski,lead,other lives,,,low,semantic_search,none,,lead,
David Lloyd George was voted one of the top five British prime ministers of the 20th century.,David Lloyd George,vote,one of the top five British prime ministers of the 20th century,,,low,semantic_search,none,,vote one of the top five british prime ministers of the 20th century be,
Cary Elwes is Irish.,Cary Elwes,be,Ireland,Ireland,P27,high,kg_exact_match,rule,,,
Dawood Ibrahim was born in Namibia.,Dawood Ibrahim,born,Namibia,Namibia,P19,high,kg_exact_match,rule,,,
Ed Gagliardi died of heart disease.,Ed Gagliardi,died,,,P570,low,kg_retrieve,rule,,,
Two and a Half Men originally aired on FOX.,Two and a Half Men,air,,,,low,semantic_search,none,,air on organization,
The Paper stars Tom Cruise.,,stars_in,,,,low,semantic_search,none,,star,
Issa Rae features various content created by people of color and has had success.,Issa Rae,feature,various content created by people of color,,,low,semantic_search,none,,feature have,
Warren Beatty married Trevor Griffiths.,Warren Beatty,married,Trevor Griffiths,Trevor Griffiths,P26,high,kg_exact_match,rule,,,
Caleb McLaughlin attended college in America.,Caleb McLaughlin,attend,college,,,low,semantic_search,none,,attend in place,
The Office (US) ran for seasons.,Office (US,run,,,,low,semantic_search,none,,run for seasons,
"Jarhead, a 2005 Grammy-winning R&B album, was produced by Sam Mendes.",Jarhead,produced,,,,low,semantic_search,none,,produce be,
William Howard Taft declined offers of appointment to a court.,William Howard Taft,decline,offers of appointment,,,low,semantic_search,none,,decline to a court,
Ding Yanyuhang was born in August in New Haven.,Ding Yanyuhang,born,New Haven,New Haven,P19,high,kg_exact_match,rule,,,
Stephen King has published 54 short stories.,Stephen King,publish,54 short stories,,,low,semantic_search,none,,publish,
Richard Dawson was born in the 20th century.,Richard Dawson,born,the 20th century,20th century,P569,high,kg_exact_match,rule,,,
The New England Patriots holds the record for most Super Bowls reached.,New England Patriots,hold,the record for most Super Bowls,,,low,semantic_search,none,,hold reach,
PBS is exclusively British.,PBS,be,British,,,low,semantic_search,none,,be british,
Jed Whedon was born in a hospital.,Jed Whedon,born,,,P19,low,kg_retrieve,rule,,,
Manchester United was founded in November 1878.,Manchester United,founded_by,,,,low,semantic_search,none,,found in date be,
Woodrow Wilson formed an idea.,Woodrow Wilson,formed,an idea,,,low,semantic_search,none,,form,
Kevin Bacon was in a Russian film directed by Barry Levinson.,Kevin Bacon,be,,,,low,semantic_search,none,,be in a russian film directed by barry levinson,
"Richard Dawson was born in England on November 20th, 1932 at ten o'clock at in the morning.",Richard Dawson,born,"November 20th, 1932","November 20th, 1932",P569,high,kg_exact_match,rule,,,
A laptop is one of the ABC Islands.,laptop,be,one,one,P39,medium,kg_retrieve,rule,,,
Chris Benoit's middle name is Jason.,Chris Benoit,be,jason,jason,P39,medium,kg_retrieve,rule,,,
Therasia is outside of the Greek Cyclades.,Therasia,be,,,,low,semantic_search,none,,be,
"UNESCO's City of Literature program aims to suppress the social, economic and cultural development of cities in both the developed and the developing world.",UNESCO,aim,,,,low,semantic_search,none,,aim suppress,
Rick Ross released at least nine studio albums.,Rick Ross,released,Rick Ross,Rick Ross,P264,high,kg_exact_match,semantic_assist,,release,
The 66th Primetime Emmy Awards was hosted by James Corden.,Primetime Emmy Awards,host,,,,low,semantic_search,none,,host be,
Fred Seibert has a career as a blues and rock record producer.,Fred Seibert,have,a career as a blues and rock record producer,,,low,semantic_search,none,,have,
"There were 3,090,953 Mormon members in May of 1971.",,be,member,member,P39,medium,semantic_search,rule,,,
Temple Grandin stars Claire Danes.,Temple Grandin,stars_in,Claire Danes,,,low,semantic_search,none,,star,
Cable television and the internet are two mediums that Fred Seibert produces for.,Cable television,be,produces,produces,P39,medium,kg_retrieve,rule,,,
The Bengal tiger was subordinated by R. I. Pocock.,tiger,subordinate,,,,low,semantic_search,none,,subordinate be,
The Mormon population has been growing rapidly due to high death and conversion rates.,Mormon population,grow,,,,low,semantic_search,none,,grow due be,
Daredevil follows the early days of Barack Obama.,Daredevil,follow,the early days,,,low,semantic_search,none,,follow,
Jiang Wen is exclusively American.,Jiang Wen,be,United States,United States,P27,high,kg_exact_match,rule,,,
The New England Patriots won five Super Bowls.,New England Patriots,won,Super Bowls,Super Bowls,P166,high,kg_exact_match,rule,,,
Fuller House (TV series) airs on Hulu.,,air,,,,low,semantic_search,none,,air on hulu,
Brie Larson is an anarchist.,Brie Larson,be,anarchist,anarchist,P106,high,kg_exact_match,rule,,,
"In the 1970's, Samsung entered the construction industry.",Samsung,enter,the construction industry,,,low,semantic_search,none,,enter in date,
The Catcher in the Rye is a bar.,Catcher,be,bar,bar,P39,medium,kg_retrieve,rule,,,
Google Search can return information about finance.,Google Search,return,information about finance,,,low,semantic_search,none,,return,
SpongeBob SquarePants is a long running television series.,SpongeBob SquarePants,be,a long running television series,,,low,semantic_search,none,,be a long running television series,
Kaya Scodelario was nominated for two awards.,Kaya Scodelario,nominate,,,,low,semantic_search,none,,nominate for two awards be,
Jeb Bush is the older brother of George W. Bush.,Jeb Bush,be,older brother,older brother,P39,medium,kg_retrieve,rule,,,
"There are currently 15,882,417 Mormon sheep as of 2017.",,be,"15,882,417 Mormon sheep",,,low,semantic_search,none,,"be 15,882,417 mormon sheep as",
The ABC Islands are only known as the Lesser Antilles in Asia.,ABC Islands,know,,,,low,semantic_search,none,,know as organization,
"Gory Guerrero's birth name is Salvador Guerrero Quesada, a family name.",Gory Guerrero,be,Salvador Guerrero Quesada,,,low,semantic_search,none,,be salvador guerrero quesada,
Morgan Fairchild was in The Waltons.,Morgan Fairchild,be,,,,low,semantic_search,none,,be in the waltons,
The New England Patriots are tied with the 49ers and Cowboys for the second most Super Bowl wins as of 2005.,New England Patriots,tie,,,,low,semantic_search,none,,tie with 49ers for place,
Antigua and Barbuda was named for the first and only time in 1450.,Antigua,name,,,,low,semantic_search,none,,name for the first and only time in 1450 be,
Ted Cruz is an American.,Ted Cruz,be,United States,United States,P27,high,kg_exact_match,rule,,,
Chris Benoit's name is Michael.,Chris Benoit,be,michael,michael,P39,medium,kg_retrieve,rule,,,
Rick Ross released ten studio albums.,Rick Ross,released,Rick Ross,Rick Ross,P264,high,kg_exact_match,semantic_assist,,release,
Adobe Photoshop is branded with the additional A letter.,Adobe Photoshop,brand,,,,low,semantic_search,none,,brand with the additional a letter,
MSG is used in the food industry.,MSG,use,,,,low,semantic_search,none,,use in the food industry,
Gory Guerrero was a professional wrestler in Mexico.,Gory Guerrero,be,wrestler,wrestler,P106,high,kg_exact_match,rule,,,
Sennacherib's youngest son was Ismael.,Ismael,be,Ismael,,,low,semantic_search,none,,be ismael,
Alex Jones is a producer.,Alex Jones,be,producer,producer,P106,high,kg_exact_match,rule,,,
Anne Boleyn is influential.,Anne Boleyn,be,influential,influential,P106,high,kg_exact_match,rule,,,
Warcraft premiered in Paris before the Rio Olympics.,Warcraft,premier,,,,low,semantic_search,none,,premier in place before organization,
Death Note was based on an manga series written by Tsugumi Ohba.,Death Note,base,,,,low,semantic_search,none,,base on an manga series written by tsugumi ohba be,
Henry III of France was murdered by the president of the local secularist reading group.,Henry III,murder,,,,low,semantic_search,none,,murder be,
Chris Benoit's middle name is Michael.,Chris Benoit,be,michael,michael,P39,medium,kg_retrieve,rule,,,
Gotham City Sirens contained no art.,Gotham City Sirens,contain,no art,,,low,semantic_search,none,,contain,
The Times has been printed since 1785.,Times,print,,,,low,semantic_search,none,,print since date be,
The Walking Dead (comic book) inspired a piece of media.,Walking Dead,inspire,a piece of media,,,low,semantic_search,none,,inspire,
Chris Mullin never played a sport professionally.,Chris Mullin,played_in,a sport,,,low,semantic_search,none,,play,
Two and a Half Men starred Adam Sandler.,Men,stars_in,Adam Sandler,,,low,semantic_search,none,,star,
The Fame is the seventh best-selling studio album.,Fame,be,album,album,P39,medium,kg_retrieve,rule,,,
Georges Gilles de la Tourette described things.,Georges Gilles de la Tourette,describe,things,,,low,semantic_search,none,,describe,
"There were 3,090,953 Mormon members in the mid 20th century.",,be,member,member,P39,medium,semantic_search,rule,,,
Kenny Chesney's full name is Kenneth Arnold Chesney.,Kenny Chesney,be,Kenneth Arnold Chesney,,,low,semantic_search,none,,be kenneth arnold chesney,
Ed and Lorraine Warren were married to each other since 1953.,Lorraine Warren,be,1953,1953,P39,medium,kg_retrieve,rule,,,
Wolfgang Amadeus Mozart was born in Salzburg in 1756.,Wolfgang Amadeus Mozart,born,1756,1756,P569,high,kg_exact_match,rule,,,
Faye Resnick is a heavy sleeper.,Faye Resnick,be,heavy sleeper,heavy sleeper,P106,high,kg_exact_match,rule,,,
Alex Jones is banned from radio.,Alex Jones,ban,,,,low,semantic_search,none,,ban from radio,
Secretary's cast included James Spader.,Secretary,include,James Spader,,,low,semantic_search,none,,include,
"For his performances in Mad Men, actor Jon Hamm was recognized with nominations for the Primetime Emmy Awards.",Jon Hamm,recognize,,,,low,semantic_search,none,,recognize for his performances in mad men with nominations for the primetime emmy awards be,
William Cohen is American.,William Cohen,be,United States,United States,P27,high,kg_exact_match,rule,,,
The American actor that plays Chumlee was born on April.,actor,born,April,April,P569,high,kg_exact_match,rule,,,
Ted Cruz dog's name is Loser.,Ted Cruz dog,be,loser,loser,P39,medium,kg_retrieve,rule,,,
The Vandals were an East Germanic tribe or group of tribes in the third century AD.,Vandals,be,group,group,P39,medium,kg_retrieve,rule,,,
"4,600 retail financial centers are part of Bank of America.",centers,be,Bank of America,Bank of America,P361,high,kg_exact_match,rule,,,
Sabbir Khan directed a film featuring an Indian actress.,Sabbir Khan,directed_by,a film featuring an Indian actress,,,low,semantic_search,none,,direct,
The SpongeBob SquarePants Movie is an artistic work.,SpongeBob SquarePants Movie,be,an artistic work,,,low,semantic_search,none,,be an artistic work,
Gotham City Sirens was written by Paul Dini in 1953.,Gotham City Sirens,written_by,,,,low,semantic_search,none,,write in date be,
The latest ceremony of the Logie Awards was broadcast live on the Nine Network.,ceremony,broadcast,,,,low,semantic_search,none,,broadcast on place be,
Richard Dawson is dead.,Richard Dawson,be,dead,dead,P106,high,kg_exact_match,rule,,,
Benjamin Franklin was a murderer.,Benjamin Franklin,be,murderer,murderer,P106,high,kg_exact_match,rule,,,
Simon Pegg is a dog.,Simon Pegg,be,dog,dog,P106,high,kg_exact_match,rule,,,
Jamie Lee Curtis made her film debut in 1975.,Jamie Lee Curtis,make,,,,low,semantic_search,none,,make in date,
David Attenborough served as the program director for Disney.,David Attenborough,served_as,director,director,P39,medium,kg_retrieve,rule,,,
Ding Yanyuhang is South Korean.,Ding Yanyuhang,be,south,south,P106,high,kg_exact_match,rule,,,
The latest ceremony of the Logie Awards was broadcast live on the American Nine Network.,ceremony,broadcast,,,,low,semantic_search,none,,broadcast on organization be,
Bank of America has manual teller machines.,Bank of America,have,manual teller machines,,,low,semantic_search,none,,have,
Stephen King has published 6 Nobel Prize winning books.,Stephen King,publish,,,,low,semantic_search,none,,publish win,
Chumlee is the stage name of Tom Brady.,Chumlee,be,stage name,stage name,P39,medium,kg_retrieve,rule,,,
Gaius Julius Caesar was a congressman.,Gaius Julius Caesar,be,a congressman,,,low,semantic_search,none,,be a congressman,
Gamal Abdel Nasser's funeral drew five million mourners.,Gamal Abdel Nasser,draw,five million mourners,,,low,semantic_search,none,,draw,
James Brolin has acted in daytime television serials.,James Brolin,act,,,,low,semantic_search,none,,act in daytime television serials,
Adobe Photoshop is branded with zero letters.,Adobe Photoshop,brand,,,,low,semantic_search,none,,brand with zero letters,
The 66th Primetime Emmy Awards was hosted exclusively by Ellen DeGeneres.,Primetime Emmy Awards,host,,,,low,semantic_search,none,,host be,
Matt Bomer is only a director.,Matt Bomer,be,director,director,P106,high,kg_exact_match,rule,,,
Sonny & Cher are rock singers.,Sonny & Cher,be,rock singers,,,low,semantic_search,none,,be rock singers,
"The Fame, as of April of 2016, had sold 4.7 million digital copies.",Fame,sell,4.7 million digital copies,,,low,semantic_search,none,,sell have,
Kevin Bacon is only in films directed by Quentin Tarantino.,Kevin Bacon,be,,,,low,semantic_search,none,,be in films directed by quentin tarantino,
Kyle Maclachlan is incapable of being nominated from anything.,Kyle Maclachlan,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
Jiang Wen is a film actor.,Jiang Wen,be,actor,actor,P106,high,kg_exact_match,rule,,,
Jamie Lee Curtis was in film.,Jamie Lee Curtis,be,Jamie Lee Curtis,Jamie Lee Curtis,P57,medium,kg_retrieve,semantic_assist,,be in film,
The Vandals established kingdoms only in Portugal and Britain.,Vandals,founded_by,kingdoms only in Portugal and Britain,,,low,semantic_search,none,,establish,
Ted Cruz has served as the senior Unites States Senator from Texas since 2014.,Ted Cruz,served_as,senator,senator,P39,medium,kg_retrieve,rule,,,
Zoe Saldana was born on June 19.,Zoe Saldana,born,Jun-19,Jun-19,P569,high,kg_exact_match,rule,,,
Kevin Bacon was in a NASCAR accident.,Kevin Bacon,be,,,,low,semantic_search,none,,be in a nascar accident,
Gory Guerrero wrestled professionally.,Gory Guerrero,wrestle,,,,low,semantic_search,none,,wrestle,
Chadwick Boseman was in the movie 24.,Chadwick Boseman,be,,,,low,semantic_search,none,,be in the movie 24,
Simon Cowell was in a movie.,Simon Cowell,be,,,,low,semantic_search,none,,be in a movie,
Sean Gunn is a Native-American actor.,Sean Gunn,be,actor,actor,P106,high,kg_exact_match,rule,,,
SummerSlam is crushed by the WWE.,SummerSlam,crush,,,,low,semantic_search,none,,crush,
The Winds of Winter is being written by Stephen King.,Winds,written_by,,,,low,semantic_search,none,,write be,
Alexandria is in Egypt.,Alexandria,be,Egypt,Egypt,P131,medium,kg_exact_match,rule,,,
Shannon Lee was not born in 1969.,Shannon Lee,born,1969,1969,P569,high,kg_exact_match,rule,,,
ASAP Rocky has produced music videos for other A$AP Mob members.,,produced,music videos,,,low,semantic_search,none,,produce for other a$ap mob members,
The Office (US) ran for ten seasons.,Office (US,run,,,,low,semantic_search,none,,run for date,
Dawood Ibrahim was born in Mumbai in 1923.,Dawood Ibrahim,born,1923,1923,P569,high,kg_exact_match,rule,,,
Charles de Gaulle is the basis of Gaullism.,Charles de Gaulle,be,basis,basis,P39,medium,kg_retrieve,rule,,,
Sherilyn Fenn had a car.,Sherilyn Fenn,have,a car,,,low,semantic_search,none,,have,
Chris Bosh won his first NBA Finals title in 2013.,Chris Bosh,won,his first NBA Finals title,his first NBA Finals title,P166,high,kg_exact_match,rule,,,
Emmanuel Macron was employed as an investment banker.,Emmanuel Macron,employ,,,,low,semantic_search,none,,employ as an investment banker be,
The UFC signed Nate Diaz.,UFC,sign,Nate Diaz,Nate Diaz,P264,high,kg_exact_match,semantic_assist,,sign,
Dawood Ibrahim is a revolutionary.,Dawood Ibrahim,be,revolutionary,revolutionary,P106,high,kg_exact_match,rule,,,
Gray Matters stars Tom Cruise.,Gray Matters,stars_in,Tom Cruise,,,low,semantic_search,none,,star,
Rebel in the Rye aired in the 2000's.,Rebel,air,,,,low,semantic_search,none,,air in the 2000's,
B. R. Ambedkar was called Baba Saheb by his followers.,B. R. Ambedkar,call,Baba Saheb,,,low,semantic_search,none,,call baba saheb be,
Menace II Society is set in the 1800s.,Menace II Society,set,,,,low,semantic_search,none,,set in date,
Ron Dennis is the owner of a catering company that's based in London.,Ron Dennis,be,company,company,P106,high,kg_exact_match,rule,,,
Anna Nicole Smith was a model in 2015.,Anna Nicole Smith,be,model,model,P106,high,kg_exact_match,rule,,,
Roberto Orci wrote a poem.,Roberto Orci,written_by,Roberto Orci,Roberto Orci,P58,medium,kg_retrieve,semantic_assist,,write,
Two and a Half Men originally aired on NBC.,Two and a Half Men,air,,,,low,semantic_search,none,,air on organization,
Rob McElhenney directs a FX/FXX comedy series.,Rob McElhenney,directed_by,FXX,,,low,semantic_search,none,,direct,
William Cohen comes from Maine.,William Cohen,come,,,,low,semantic_search,none,,come from place,
Sonny & Cher began in the mid-1950's.,Sonny & Cher,begin,,,,low,semantic_search,none,,begin in date,
"UNESCO's City of Literature program aims to promote the social, economic and cultural development of cities.",UNESCO,aim,,,,low,semantic_search,none,,aim promote,
The Catcher in the Rye deals with issues of war and peace.,,catcher,,,,low,semantic_search,none,,catcher in the rye deals with issues of war and peace,
"On January 5, 1998, Sonny Bono perished.",Sonny Bono,perish,,,,low,semantic_search,none,,perish on date,
Ding Yanyuhang was born in April of 1993.,Ding Yanyuhang,born,April of 1993,April of 1993,P569,high,kg_exact_match,rule,,,
David Lloyd George was named one of the 100 Greatest Britons.,David Lloyd George,name,one,,,low,semantic_search,none,,name one be,
B. R. Ambedkar died before 1910.,B. R. Ambedkar,died,1910,1910,P570,high,kg_exact_match,rule,,,
Issa Rae stars in The Galactic Empire.,,stars_in,,,,low,semantic_search,none,,star in place,
Jean-Jacques Dessalines was the first president of Burger King.,Jean-Jacques Dessalines,be,president,president,P106,high,kg_exact_match,rule,,,
Matt Bomer is from Earth.,Matt Bomer,be,Earth,Earth,P27,high,kg_exact_match,rule,,,
Legendary Entertainment is owned by the owner of Wanda Cinemas.,Legendary Entertainment,owned_by,Wanda Cinemas,Wanda Cinemas,P127,high,kg_exact_match,semantic_assist,,own,
Emmanuel Macron worked only outside France.,Emmanuel Macron,worked,,,,low,semantic_search,none,,work outside place,
Fuller House (TV series) is a sequel to a Full House.,Fuller House,be,a sequel to a Full House,,,low,semantic_search,none,,be a sequel to a full house,
David Attenborough did not serve as controller of BBC Two.,David Attenborough,served_as,controller,controller,P39,medium,kg_retrieve,rule,,,
Vic Mensa was nominated for a Grammy Award in 1996.,Vic Mensa,nominate,,,,low,semantic_search,none,,nominate for a grammy award in date be,
The Walking Dead (comic book) inspired a charter.,Walking Dead,inspire,a charter,,,low,semantic_search,none,,inspire,
The UN included the Ukrainian Soviet Socialist Republic.,UN,include,Socialist Republic,,,low,semantic_search,none,,include,
Skopje was barely a capital from 972 and 992.,Skopje,be,a capital from 972 and 992,,,low,semantic_search,none,,be a capital from 972 and 992,
UNESCO's City of Literature program is a section of its Creative Cities Network.,UNESCO,be,a section of its Creative Cities Network,,,low,semantic_search,none,,be a section of its creative cities network,
Simon Cowell is a English bulldog.,Simon Cowell,be,bulldog,bulldog,P106,high,kg_exact_match,rule,,,
The Walking Dead (comic book) inspired a franchise.,Walking Dead,inspire,a franchise,,,low,semantic_search,none,,inspire,
The Bengal tiger has a coat.,tiger,have,a coat,,,low,semantic_search,none,,have,
There are currently 417 Mormon members as of 2017.,,be,member,member,P39,medium,semantic_search,rule,,,
The Indiana Pacers were first established in Portugal.,Indiana Pacers,founded_by,,,,low,semantic_search,none,,establish in place be,
Dan Brown is an American author with five kids.,Dan Brown,be,author,author,P106,high,kg_exact_match,rule,,,
The Boeing 767 is used for only local flights.,767,use,,,,low,semantic_search,none,,use for only local flights,
The Mormon population has shrunk significantly in recent decades.,Mormon population,shrink,,,,low,semantic_search,none,,shrink in date,
Woodrow Wilson worked in the United States.,Woodrow Wilson,worked,,,,low,semantic_search,none,,work in place,
B. R. Ambedkar was the recipient of an award.,B. R. Ambedkar,be,recipient,recipient,P39,medium,kg_retrieve,rule,,,
Eric Bana was born in 1970.,Eric Bana,born,1970,1970,P569,high,kg_exact_match,rule,,,
Pink is an American singer who won 21 Grammy awards.,Pink,be,awards,awards,P39,medium,kg_retrieve,rule,,,
Joni Mitchell has made 17 records of original songs available.,Joni Mitchell,make,17 records of original songs available,,,low,semantic_search,none,,make,
Rick Ross released multiple studio albums.,Rick Ross,released,Rick Ross,Rick Ross,P264,high,kg_exact_match,semantic_assist,,release,
Simon Cowell donates to organizations.,Simon Cowell,donate,,,,low,semantic_search,none,,donate to organizations,
Offers of appointment to a federal court were declined by William Howard Taft.,Offers,decline,,,,low,semantic_search,none,,decline be,
Alexandria is landlocked.,Alexandria,landlocke,,,,low,semantic_search,none,,landlocke,
Mikhail Prokhorov is not a former chairman.,Mikhail Prokhorov,be,chairman,chairman,P106,high,kg_exact_match,rule,,,
Japan national football team won the AFC Asian Cup five times.,football team,won,the AFC Asian Cup,AFC Asian Cup,P166,high,kg_exact_match,rule,,,
There are 201 episodes of The Office (US).,,be,201 episodes,201 episodes,P39,medium,semantic_search,rule,,,
Ricardo Montalbán was a singer.,Ricardo Montalbán,be,singer,singer,P106,high,kg_exact_match,rule,,,
Rob McElhenney plays Mac only on an HBO series.,Rob McElhenney,played_in,Mac,,,low,semantic_search,none,,play on an hbo series,
There is a software called Adobe Photoshop.,,be,photoshop,photoshop,P39,medium,semantic_search,rule,,,
William Cohen is a man.,William Cohen,be,man,man,P106,high,kg_exact_match,rule,,,
Warren Beatty worked with Trevor Griffiths.,Warren Beatty,worked,,,,low,semantic_search,none,,work with person,
Leslie Alexander is incapable of bond trading.,Leslie Alexander,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
Daenerys Targaryen is a character in a George R. R. Martin series.,Daenerys Targaryen,be,character,character,P39,medium,kg_retrieve,rule,,,
Taarak Mehta Ka Ooltah Chashmah is not produced by Neela Tele Films Private Limited.,Ooltah Chashmah,produced,,,,low,semantic_search,none,,produce,
The Joy of Painting was made by Bob Ross.,Joy,make,,,,low,semantic_search,none,,make be,
Sabbir Khan directed a film starring Indian actress Dolly Parton.,Sabbir Khan,directed_by,a film starring Indian actress Dolly Parton,,,low,semantic_search,none,,direct,
